"DisplayName","CreatedBy","Created","Modified By","Modified","OwnerName","UsesPremiumAPI","UsesCustomApi","ConnectionsUsed","OnPremConnectionsUsed","SitePath","ListPath","TypeofApp"
"Master on ModernTeam forms","aditya gandhe","2020-04-09T09:51:25.7714374Z","aditya gandhe","2020-04-09T10:00:15.8310633Z","aditya gandhe","False","False","SharePoint; ","False","https://yavatmal3.sharepoint.com/sites/ModernTeam","https://yavatmal3.sharepoint.com/sites/ModernTeam/Lists/Master/AllItems.aspx","SharepointFormApp"
"List0App","aditya gandhe","2020-04-05T14:13:13.8561655Z","aditya gandhe","2020-04-05T14:13:13.9030006Z","aditya gandhe","True","False","SharePoint; ","False","","","CanvasApp"
"Help Desk Tickets","aditya gandhe","2019-05-01T12:26:35.6715424Z","aditya gandhe","2019-06-27T01:19:37.7724076Z","aditya gandhe","False","False","Logic flows; SharePoint; Office 365 Outlook; Office 365 Users; ","False","","","CanvasApp"
"BlankTemplate","aditya gandhe","2018-12-30T04:27:45.0841582Z","aditya gandhe","2020-04-07T07:54:50.8644684Z","aditya gandhe","False","False","SharePoint; SharePoint; Office 365 Outlook; ","False","","","CanvasApp"
"PowerAppsDropdown on ModernTeam forms","aditya gandhe","2020-04-18T12:12:27.0471286Z","aditya gandhe","2020-04-18T13:36:11.0978609Z","aditya gandhe","False","False","SharePoint; ","False","https://yavatmal3.sharepoint.com/sites/ModernTeam","https://yavatmal3.sharepoint.com/sites/ModernTeam/Lists/PowerAppsDropdown/AllItems.aspx","SharepointFormApp"
"Help Desk_1509","aditya gandhe","2019-11-15T15:10:56.8554694Z","aditya gandhe","2019-11-15T15:10:56.9023605Z","aditya gandhe","False","False","Office 365 Users; ","False","","","CanvasApp"
"BlankTemplateTest","aditya gandhe","2019-05-05T03:45:51.0973118Z","aditya gandhe","2019-06-27T01:39:11.4921659Z","aditya gandhe","False","False","SharePoint; ","False","","","CanvasApp"
"SPFXListOperations on ModernTeam forms","aditya gandhe","2020-04-24T13:34:38.8686695Z","aditya gandhe","2020-04-24T13:34:38.8998565Z","aditya gandhe","False","False","SharePoint; ","False","https://yavatmal3.sharepoint.com/sites/ModernTeam","https://yavatmal3.sharepoint.com/sites/ModernTeam/Lists/SPFXListOperations/AllItems.aspx","SharepointFormApp"
"PowerAppsDropdown on ModernTeam forms (1)","aditya gandhe","2020-04-18T14:11:33.8277031Z","aditya gandhe","2020-04-18T14:11:33.9371172Z","aditya gandhe","False","False","SharePoint; ","False","https://yavatmal3.sharepoint.com/sites/ModernTeam","https://yavatmal3.sharepoint.com/sites/ModernTeam/Lists/PowerAppsDropdown/AllItems.aspx","SharepointFormApp"
"0 on ModernTeam forms","aditya gandhe","2020-04-08T05:13:44.7593839Z","aditya gandhe","2020-04-09T03:32:06.2861983Z","aditya gandhe","False","False","SharePoint; ","False","https://yavatmal3.sharepoint.com/sites/ModernTeam","https://yavatmal3.sharepoint.com/sites/ModernTeam/Lists/0/AllItems.aspx","SharepointFormApp"
"Teest on ModernTeam forms","aditya gandhe","2020-04-09T03:33:25.074646Z","aditya gandhe","2020-04-09T04:38:49.4119133Z","aditya gandhe","False","False","SharePoint; ","False","https://yavatmal3.sharepoint.com/sites/ModernTeam","https://yavatmal3.sharepoint.com/sites/ModernTeam/Lists/Teest/AllItems.aspx","SharepointFormApp"
"LargeList","aditya gandhe","2019-06-29T06:45:24.9606669Z","aditya gandhe","2020-04-18T14:20:50.9466445Z","aditya gandhe","False","False","SharePoint; SharePoint; ","False","","","CanvasApp"
"CustomFormsTeest","aditya gandhe","2020-04-09T03:34:30.572493Z","aditya gandhe","2020-04-18T14:29:47.2153573Z","aditya gandhe","False","False","SharePoint; ","False","","","CanvasApp"
"PowerAppForm","aditya gandhe","2018-12-25T12:57:44.8958912Z","aditya gandhe","2019-04-14T08:49:22.2346292Z","aditya gandhe","False","False","SharePoint; ","False","","","CanvasApp"
"customlist on team forms","aditya gandhe","2018-12-24T14:01:35.8916325Z","aditya gandhe","2018-12-24T14:01:37.1106696Z","aditya gandhe","False","False","SharePoint; ","False","https://yavatmal3.sharepoint.com/sites/team","https://yavatmal3.sharepoint.com/sites/team/Lists/customlist/AllItems.aspx","SharepointFormApp"
"Help Desk Tickets test","aditya gandhe","2019-11-15T15:22:43.837811Z","aditya gandhe","2019-11-15T15:22:44.0096658Z","aditya gandhe","False","False","Logic flows; SharePoint; Office 365 Outlook; Office 365 Users; ","False","","","CanvasApp"
